number,name,status
1,PEP Purpose and Guidelines,Active
434,IDLE Enhancement Exception for All Branches,Active
290,Code Migration and Modernization,Active
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
430,Migrating to Python 3 as the default online documentation,Final
291,Backward Compatibility for the Python 2 Standard Library,Final
394,The “python” Command on Unix-Like Systems,Active
333,Python Web Server Gateway Interface v1.0,Final
287,reStructuredText Docstring Format,Active
272,API for Block Encryption Algorithms v1.0,Final
257,Docstring Conventions,Active
248,Python Database API Specification v1.0,Final
247,API for Cryptographic Hash Functions,Final
249,Python Database API Specification v2.0,Final
101,Doing Python Releases 101,Active
8015,Organization of the Python community,Rejected
20,The Zen of Python,Active
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8012,The Community Governance Model,Rejected
3152,Cofunctions,Rejected
3153,Asynchronous IO support,Superseded
8010,The Technical Leader Governance Model,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3140,"str(container) should call str(item), not repr(item)",Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3133,Introducing Roles,Rejected
3136,Labeled break and continue,Rejected
3130,Access to Current Module/Class/Function,Rejected
3128,BList: A Faster List-like Type,Rejected
3126,Remove Implicit String Concatenation,Rejected
3125,Remove Backslash Continuation,Rejected
3122,Delineation of the main module,Rejected
3117,Postfix type declarations,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3103,A Switch/Case Statement,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
722,Dependency specification for single-file scripts,Rejected
713,Callable Modules,Rejected
707,A simplified signature for __exit__ and __aexit__,Rejected
704,Require virtual environments by default for package installers,Withdrawn
690,Lazy Imports,Rejected
677,Callable Type Syntax,Rejected
666,Reject Foolish Indentation,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
648,Extensible customizations of the interpreter at startup,Rejected
651,Robust Stack Overflow Handling,Rejected
645,Allow writing optional types as ,Withdrawn
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
640,Unused variable syntax,Rejected
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
637,Support for indexing with keyword arguments,Rejected
620,Hide implementation details from the C API,Withdrawn
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
611,The one million limit,Withdrawn
608,Coordinated Python release,Rejected
606,Python Compatibility Version,Rejected
601,Forbid return/break/continue breaking out of finally,Rejected
622,Structural Pattern Matching,Superseded
605,A rolling feature release stream for CPython,Rejected
599,The manylinux2014 Platform Tag,Superseded
598,Introducing incremental feature releases,Withdrawn
595,Improving bugs.python.org,Withdrawn
583,A Concurrency Memory Model for Python,Withdrawn
582,Python local packages directory,Rejected
580,The C call protocol,Rejected
577,Augmented Assignment Expressions,Withdrawn
576,Rationalize Built-in function classes,Withdrawn
571,The manylinux2010 Platform Tag,Superseded
575,Unifying function/method classes,Withdrawn
559,Built-in noop(),Rejected
555,Context-local variables (contextvars),Withdrawn
554,Multiple Interpreters in the Stdlib,Superseded
551,Security transparency in the Python runtime,Withdrawn
550,Execution Context,Withdrawn
549,Instance Descriptors,Rejected
